customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,CLV
1,060 Morning Avenue,2016,New South Wales,Australia,10,Laraine,Medendorp,Female,93,12/10/1953,Executive Secretary,Health,Mass Customer,N,Yes,11,70,9084.45
2,6 Meadow Vale Court,2153,New South Wales,Australia,10,Eli,Bockman,Male,81,16/12/1980,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,43,4149.07
4,0 Holy Cross Court,4211,QLD,Australia,9,Talbot,,Male,33,03/10/1961,,IT,Mass Customer,N,No,7,62,1047.72
5,17979 Del Mar Point,2448,New South Wales,Australia,4,Sheila-kathryn,Calton,Female,56,13/05/1977,Senior Editor,,Affluent Customer,N,Yes,8,47,5903.2
6,9 Oakridge Court,3216,VIC,Australia,9,Curr,Duckhouse,Male,35,16/09/1966,,Retail,High Net Worth,N,Yes,13,57,5931.69
7,4 Delaware Trail,2210,New South Wales,Australia,9,Fina,Merali,Female,6,23/02/1976,,Financial Services,Affluent Customer,N,Yes,11,48,995.38
8,49 Londonderry Lane,2650,New South Wales,Australia,4,Rod,Inder,Male,31,30/03/1962,Media Manager I,,Mass Customer,N,No,7,62,12024.76
9,97736 7th Trail,2023,New South Wales,Australia,12,Mala,Lind,Female,97,10/03/1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,51,5357.55
11,93405 Ludington Park,3044,VIC,Australia,8,Uriah,Bisatt,Male,99,30/04/1954,,Property,Mass Customer,N,No,9,70,6779.44
12,44339 Golden Leaf Alley,4557,QLD,Australia,4,Sawyere,Flattman,Male,58,21/07/1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,29,6394.21
13,2 Sutherland Street,3799,VIC,Australia,6,Gabriele,Norcross,Male,38,15/02/1955,Developer I,Financial Services,High Net Worth,N,Yes,8,69,7734.74
14,9 Mcbride Trail,2760,New South Wales,Australia,8,Rayshell,Kitteman,Female,85,25/03/1983,Account Executive,Financial Services,Affluent Customer,N,No,6,41,3593.57
15,9861 New Castle Avenue,2428,New South Wales,Australia,9,Erroll,Radage,Male,91,13/07/2000,Junior Executive,Manufacturing,Mass Customer,N,No,1,23,4923.34
16,52 Moland Street,3331,VIC,Australia,4,Harlin,Parr,Male,38,27/02/1977,Media Manager IV,,Mass Customer,N,Yes,18,47,7763.79
17,82391 Kensington Lane,3058,VIC,Australia,9,Heath,Faraday,Male,57,19/03/1962,Sales Associate,,Affluent Customer,N,Yes,15,62,4676.19
18,092 2nd Alley,2135,New South Wales,Australia,12,Marjie,Neasham,Female,79,06/07/1967,Professor,,Affluent Customer,N,No,11,56,8878.62
19,59 Spaight Circle,2233,New South Wales,Australia,9,Sorcha,Keyson,Female,76,15/04/2001,Geological Engineer,Manufacturing,High Net Worth,N,No,1,23,4238.19
20,032 Bartelt Crossing,2444,New South Wales,Australia,8,Basile,Firth,Male,72,13/08/1980,Project Manager,Manufacturing,Mass Customer,N,No,11,43,6618.86
21,18 Jenna Center,2650,New South Wales,Australia,7,Mile,Cammocke,Male,74,20/09/1980,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,43,7446.21
24,3 Cordelia Plaza,2153,New South Wales,Australia,10,Kim,Skpsey,Female,55,03/12/1977,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,46,8078.95
25,28 5th Center,4413,QLD,Australia,3,Geoff,Assaf,Male,72,02/12/1976,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,47,9996.33
26,52 Carey Alley,4740,QLD,Australia,5,Trixi,Ginnelly,Female,12,10/06/1978,Editor,Financial Services,Mass Customer,N,Yes,16,45,3943.12
27,96 Texas Plaza,3218,VIC,Australia,7,Garvin,Klees,Male,37,25/09/1978,Research Nurse,Health,Mass Customer,N,Yes,12,45,7679.97
28,48 Eagan Avenue,4868,QLD,Australia,4,Fee,Zellmer,Male,5,30/09/1973,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,50,5492.9
29,9 Buell Park,4116,QLD,Australia,7,Mona,Sancraft,Female,62,22/06/1968,Safety Technician III,Manufacturing,Mass Customer,N,No,19,55,10855.57
